title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Microfoundations of Macroeconomics,,Prof. Wasim Ahmad,,,,,,,nptel
Developing Soft Skills and Personality,,Prof. T Ravichandran,,,,,,,nptel
An Introduction to Programming through C++,,Prof. Abhiram Ranade,,,,,,,nptel
Robotics: Basics and Selected Advanced Concepts,,Prof. Ashitava Ghosal,,,,,,,nptel
"Innovation, Business Models and Entrepreneurship",,Dr. Rajat Agarwal,,,,,,,nptel
Design Practice,,Prof. Shantanu Bhattacharya,,,,,,,nptel
User Interface Design,,Prof. Saptarshi Kolay,,,,,,,nptel
"Design, Technology and Innovation",,Prof. B.K. Chakravarthy,,,,,,,nptel
Advanced Mathematical Methods for Chemistry,,Prof. Madhav Ranganathan,,,,,,,nptel
Human Molecular Genetics,,Prof. S.Ganesh,,,,,,,nptel
An Introduction to Cardiovascular Fluid Mechanics,,Dr. Raghvendra Gupta,,,,,,,nptel
"Groups : Motion, symmetry and puzzles",,Amit Kulshrestha,,,,,,,nptel
Introduction to Fluid Mechanics,,Prof. Suman Chakraborty,,,,,,,nptel
Measure theory,,Prof. Inder Kumar Rana,,,,,,,nptel
Introduction to Process Modeling in the Membrane Separation Process,,Prof. Sirshendu De,,,,,,,nptel
Forests and Their Management,,Prof. Ankur awadhiya,,,,,,,nptel
Welding Metallurgy,,Prof. Pradeep K. Jha,,,,,,,nptel
Integrated Marketing Communication,,Prof. Vinay Sharma,,,,,,,nptel
Financial Statement Analysis and Reporting,,Prof. Anil K. Sharma,,,,,,,nptel
Conduction and Convection Heat Transfer,,Prof. Sankar Kumar Som,,,,,,,nptel
Management Information System,,Prof Kunal Kanti Ghosh,,,,,,,nptel
Stereochemistry,,Prof. Amit Basak,,,,,,,nptel
Introduction to Algorithms and Analysis,,Prof. Sourav Mukhopadhyay,,,,,,,nptel
Introduction to Materials Science and Engineering,,Dr. Rajesh Prasad,,,,,,,nptel
"Information Theory, Coding and Cryptography",,Prof. Ranjan Bose,,,,,,,nptel
Financial Institutions and Markets,,Prof. Jitendra Mahakud,,,,,,,nptel
Introduction to History of Architecture in India,,Prof.Pushkar Sohoni,,,,,,,nptel
Advanced Concrete Technology,,Prof. Manu Santhanam,,,,,,,nptel
Solid State Devices,,Prof. Karmalkar S,,,,,,,nptel
Financial Accounting,,Prof. Varadraj Bapat,,,,,,,nptel
Practical English: Learning and Teaching,,Prof. Bhaskar Dasgupta,,,,,,,nptel
Experimental Biotechnology,,Prof Vishal Trivedi,,,,,,,nptel
Manage TB,,Prof. Mohan Natrajan,,,,,,,nptel
Effective Engineering Teaching in Practice,,Prof. G. K. Suraishkumar,,,,,,,nptel
AI:Constraint Satisfaction,,Prof. Deepak Khemani,,,,,,,nptel
Organometallic Chemistry,,Prof. D.Maiti,,,,,,,nptel
Supply Chain Analytics,,Prof. Rajat Agrawal,,,,,,,nptel
Retrofitting and Rehabilitation of Civil Infrastructure,,Prof. Swati Maitra,,,,,,,nptel
Reinforced Concrete Road Bridges,,Prof. Nirjhar Dhang,,,,,,,nptel
Principles of Casting Technology,,Prof. Pradeep Kumar Jha,,,,,,,nptel
Principles of Signal Estimation for MIMO/ OFDM Wireless Communication,,Prof. Aditya K. Jagannatham,,,,,,,nptel
Introduction to Research,,Prof. Prathap Haridoss,,,,,,,nptel
Introduction to Remote Sensing,,Prof. Arun K. Saraf,,,,,,,nptel
Electronics Enclosures Thermal Issues,,Prof. N. V. Chalapathi Rao,,,,,,,nptel
Spur and helical gear cutting,,Prof. Asimava Roychoudhury,,,,,,,nptel
An Introduction to Programming through C++,,Prof. Abhiram Ranade,,,,,,,nptel
Soft Skill Development,,Prof. D. Suar,,,,,,,nptel
Literature and Coping Skills,,Prof. Ajit K Mishra,,,,,,,nptel
Marketing research and analysis,,Prof. J.K.Nayak,,,,,,,nptel
Manufacturing Systems Technology I & II,,Prof. Shantanu Bhattacharya,,,,,,,nptel
Introduction to Ancient Indian Technology,,Prof. D.P. Mishra,,,,,,,nptel
Multirate DSP,,Prof.R. David Koilpillai,,,,,,,nptel
Rocket Propulsion,,Prof. K. Ramamurthi,,,,,,,nptel
Applied Electromagnetics For Engineers,,Prof. Pradeep Kumar,,,,,,,nptel
"Principles of Combing,Roving preparation & Ring spinning",,Prof. R Chattopadhyay,,,,,,,nptel
Bioengineering: An Interface with Biology and Medicine,,Prof. Sanjeeva Srivastava,,,,,,,nptel
Engineering Fracture Mechanics,,Prof. K.Ramesh,,,,,,,nptel
Introductory Mathematical Methods for Biologists,,Prof. Ranjith Padinhateeri,,,,,,,nptel
Deep Learning for Visual Computing,,Prof. Debdoot Sheet,,,,,,,nptel
Indian Business History,,Prof. Vipul Dutta,,,,,,,nptel
Finite element modeling of welding processes,,Prof. Swarup Bag,,,,,,,nptel
Selected Topics in Mathematical Physics,,Prof. V. Balakrishnan,,,,,,,nptel
Introduction to Machining and Machining Fluids,,Prof. Mamilla Ravi Sankar,,,,,,,nptel
Housing Policy & Planning,,Prof. Uttam Kumar Roy,,,,,,,nptel
Industrial Automation and Control,,Prof. Siddhartha Mukhopadhyay,,,,,,,nptel
Science of Clothing Comfort,,Prof. Apurba Das,,,,,,,nptel
Mechanics of Solids,,Prof. Priyanka Ghosh,,,,,,,nptel
Language And Mind,,Prof. Rajesh Kumar,,,,,,,nptel
The Popular Gothic Novel,,Prof. Divya A,,,,,,,nptel
Introduction to Biostatistics,,Prof. Shamik Sen,,,,,,,nptel
Introduction to probability and Statistics,,Prof. G. Srinivasan,,,,,,,nptel
Introduction to Database Systems,,Prof. Sreenivasa Kumar,,,,,,,nptel
Mechanical Operation,,Prof. Shabina Khanam,,,,,,,nptel
Introduction to Abrasive Machining and Finishing Processes,,Prof. Mamilla Ravi Sankar,,,,,,,nptel
Introduction to Basic Spoken Sanskrit,,Anuradha Choudry,,,,,,,nptel
Problem Solving through Programming in C,,Prof. Anupam Basu,,,,,,,nptel
Continuum Mechanics and Transport Phenomena,,Prof.T. Renganathan,,,,,,,nptel
Economic Growth and Development,,Dr. Rajshree Bedamatta,,,,,,,nptel
Organization Theory/Structure and Design,,Prof. Zillur Rahman,,,,,,,nptel
Digital Electronic Circuits,,Prof. Goutam Saha,,,,,,,nptel
Animal Physiology,,Prof. Mainak Das,,,,,,,nptel
Matrix Method of Structural Analysis,,Amit Shaw,,,,,,,nptel
Electromagnetic theory,,Prof. Pradeep Kumar K,,,,,,,nptel
Process Equipment Design,,Prof. Shabina Khanam,,,,,,,nptel
Fundamentals Of Artificial Intelligence,,Prof. Shyamanta M. Hazarika,,,,,,,nptel
Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink,,Prof. Yogesh Vijay Hote,,,,,,,nptel
Appreciating Carnatic Music,,Prof. Dr. Lakshmi Sreeram,,,,,,,nptel
Ground Improvement,,Prof. Dilip Kumar Baidya,,,,,,,nptel
"Sustainable and Affordable Sanitation Solutions For Small Towns: Policy, Planning and Practice",,Prof.N.C.Narayanan,,,,,,,nptel
Digital Image Processing,,Prof. Prabir Kumar Biswas,,,,,,,nptel
Thermodynamics,,Prof. S. R. Kale,,,,,,,nptel
Electric Vehicles - Part 1,,Prof.Amit Kumar Jain,,,,,,,nptel
Thermodynamics Of Fluid Phase Equilibria,,Prof. Jayant K Singh,,,,,,,nptel
"Urban utilities Planning : Water Supply, Sanitation and Drainage",,Prof. Debapratim Pandit,,,,,,,nptel
Explosions and Safety,,Prof. K. Ramamurthi,,,,,,,nptel
Indian Philosophy,,Prof. Dr. Satya Sundar Sethy,,,,,,,nptel
Solid State Chemistry,,Prof. Madhav Ranganathan,,,,,,,nptel
Social Networks,,Prof. Sudarshan Iyengar,,,,,,,nptel
Towards an Ethical Digital Society: From Theory to Practice,,Prof. Bidisha Chaudhuri,,,,,,,nptel
Advanced IOT Applications,,Prof  T V Prabhakar,,,,,,,nptel
Introduction to Algebraic Geometry and Commutative Algebra,,Prof. Dilip P. Patil,,,,,,,nptel
HSE for offshore and petroleum engineers - Practices,,Prof. Srinivasan Chandrasekaran,,,,,,,nptel
Electromagnetism,,Prof. Nirmal Ganguli,,,,,,,nptel
Social Networks,,Prof. Sudarshan Iyengar,,,,,,,nptel
Consumer Behaviour,,Prof. Srabanti Mukherjee,,,,,,,nptel
Variational Calculus and its applications in Control Theory and Nanomechanics,,Prof. Sarthok Sircar,,,,,,,nptel
Multiphase Microfluidics,,Dr. Raghvendra Gupta,,,,,,,nptel
Sociology of Science,,Prof. Aninday Jayant Mishra,,,,,,,nptel
Ethical Hacking,,Prof. Indranil Sengupta,,,,,,,nptel
Introduction to Machining and Machining Fluids,,Prof. Mamilla Ravi Sankar,,,,,,,nptel
Introduction to Electromagnetic Theory,,Prof. Manoj Harbola,,,,,,,nptel
Financial Statement Analysis and Reporting,,Prof. Anil K. Sharma,,,,,,,nptel
Advanced Condensed Matter Physics,,Prof. Saurabh Basu,,,,,,,nptel
An Introduction to Coding Theory,,Dr.Adrish Banerjee,,,,,,,nptel
Advanced Chemical Thermodynamics and Kinetics,,Prof. Arijit Kumar De,,,,,,,nptel
Postcolonial Literature,,Prof. Sayan Chattopadhyay,,,,,,,nptel
Applied Electromagnetics For Engineers,,Prof. Pradeep Kumar,,,,,,,nptel
Ethics in Engineering Practice,,Prof. Susmita Mukhopadhyay,,,,,,,nptel
Introduction to Composites,,Prof. Nachiketa Tiwari,,,,,,,nptel
Principles of Industrial Engineering,,Prof. D. K. Dwivedi,,,,,,,nptel
Geographic Information Systems,,Prof. Arun K. Saraf,,,,,,,nptel
Demystifying the Brain,,Prof. Srinivas Chakravarthy,,,,,,,nptel
Solid state physics,,Prof. Amal Kumar Das,,,,,,,nptel
Corporate social responsibility,,Prof. Aradhna Malik,,,,,,,nptel
Natural Language Processing,,Prof. Pawan Goyal,,,,,,,nptel
Introduction to Statistical Hypothesis Testing,,Prof. Arun K. Tangirala,,,,,,,nptel
Physics through Computational Thinking,,Prof. Auditya Sharma,,,,,,,nptel
Heat Exchangers: Fundamentals and Design Analysis,,Prof. Prasanta Kr Das,,,,,,,nptel
"Services Marketing : Integrating People, Technology, Strategy",,Prof. Zillur Rahman,,,,,,,nptel
Management of Inventory Systems,,Prof. Pradip Kumar Ray,,,,,,,nptel
Educational Leadership,,Prof. Atasi Mohanty,,,,,,,nptel
Experimental Physics III,,Prof. Amal Kumar Das,,,,,,,nptel
Landscape Architecture and Site Planning - Basic Fundamentals,,Prof. Uttam Kumar Bannerjee,,,,,,,nptel
Basics in Inorganic Chemistry,,Prof. D. Maiti,,,,,,,nptel
Microwave Integrated Circuits,,Prof. Jayanta Mukherjee,,,,,,,nptel
Model Checking,,Prof. B.Srivathsan,,,,,,,nptel
Introduction to Environmental Economics,,Prof. Diptimayee Nayak,,,,,,,nptel
Bioreactors,,Prof. G. K. Suraishkumar,,,,,,,nptel
Economic Growth & Development,,Dr. Rajshree Bedamatta,,,,,,,nptel
BioInformatics: Algorithms and Applications,,Prof. Michael Gromiha,,,,,,,nptel
Introduction to Launch Vehicle Analysis and Design,,Prof. Ashok Joshi,,,,,,,nptel
Integrated Waste Management for a Smart City,,Prof. Brajesh Kumar Dubey,,,,,,,nptel
"Energy Efficiency, Acoustics and Daylighting in Building",,Prof. B Bhattacharjee,,,,,,,nptel
Contemporary Architecture and Design,,Prof. Saptarshi Kolay,,,,,,,nptel
Geotechnical Engineering - 1,,Prof. Devendra Narain Singh,,,,,,,nptel
Electronic Theory of Solids,,Prof. Arghya Taraphder,,,,,,,nptel
Molecules in Motion,,Amita (Pathak) Mahanty,,,,,,,nptel
Automatic Control,,Prof. Anil Kumar,,,,,,,nptel
Numerical Methods: Finite difference approach,,Prof. Ameeya Kumar Nayak,,,,,,,nptel
Electric Vehicles - Part 1,,Prof.Amit Kumar Jain,,,,,,,nptel
Antennas,,Prof. Girish Kumar,,,,,,,nptel
Numerical Linear Algebra,,Prof. P. N. Agrawal,,,,,,,nptel
Fluid Machines,,Prof. S.K. Som,,,,,,,nptel
Introduction to research,,Unknown,,,,,,,nptel
Sales And Distribution Management,,Prof. Sangeeta Sahney,,,,,,,nptel
Advanced Machining Processes,,Prof. Manas Das,,,,,,,nptel
Introduction to probability and Statistics,,G Srinivasan,,,,,,,nptel
Regression Analysis,,Prof. Soumen Maity,,,,,,,nptel
DC Microgrid and Control System,,Prof. Avik Bhattacharya,,,,,,,nptel
"Non Traditional Abrasive Machining Processes- Ultrasonic, Abrasive Jet and Abrasive Water Jet Machining",,Prof. Asimava Roy Choudhury,,,,,,,nptel
"Fire Protection, Services and Maintenance Management of Building",,Prof. B. Bhattacharjee,,,,,,,nptel
Literary and Cultural Disability Studies: An Exploration,,Prof. Hemachandran Karah,,,,,,,nptel
Problem Solving through Programming in C,,Prof. Anupam Basu,,,,,,,nptel
Analog Electronic Circuits,,Prof. Shouribrata chatterjee,,,,,,,nptel
Computational Mathematics with SageMath,,Prof. Ajit Kumar,,,,,,,nptel
Mathematical Methods in Engineering and Science,,Prof. Bhaskar Dasgupta,,,,,,,nptel
Essentials of Biomolecules : Nucleic Acids and Peptides,,Prof. Lal Mohan Kundu,,,,,,,nptel
Randomized Methods in Complexity,,Prof. Nitin Saxena,,,,,,,nptel
Product Design using Value Engineering,,Prof.Inderdeep Singh,,,,,,,nptel
Mechanics Of Materials,,Prof. Saravanan.U,,,,,,,nptel
Fundamentals of Conduction and Radiation,,Prof.Amaresh Dalal,,,,,,,nptel
Literature and Life,,Prof. S P Dhanavel,,,,,,,nptel
Principles Of Communication Systems - Part 1,,Prof. Aditya Jagannatham,,,,,,,nptel
Management of Inventory Systems,,Pradip Kumar Ray,,,,,,,nptel
Human Molecular Genetics,,Prof. S. Ganesh,,,,,,,nptel
Analog Communication,,Prof. Goutam Das,,,,,,,nptel
Embedded Systems Design,,Prof. Anupam Basu,,,,,,,nptel
Industrial Automation and Control,,Prof. Siddhartha Mukhopadhyay,,,,,,,nptel
Numerical Methods And Simulation Techniques For Scientists And Engineers,,Prof.Saurabh Basu,,,,,,,nptel
Engineering Mechanics - Statics and Dynamics,,Prof. Dr.Mahesh V Panchagnula,,,,,,,nptel
Effective Engineering Teaching In Practice,,Prof. G. K. Suraishkumar,,,,,,,nptel
Understanding Design,,Prof. Nina Sabnani,,,,,,,nptel
VLSI Signal Processing,,Prof. Mrityunjay Chakraborty,,,,,,,nptel
Business analytics and data mining Modeling using R,,Prof. Gaurav Dixit,,,,,,,nptel
Introduction to Abstract Group Theory,,Prof. Krishna Hanumanthu,,,,,,,nptel
Mapping Signal Processing Algorithms to Architectures,,Prof.Nitin Chandrachoodan,,,,,,,nptel
Introduction to Machining and Machining Fluids,,"Prof. Mamilla Ravi
Sankar",,,,,,,nptel
Management Accounting,,Prof. Anil K. Sharma,,,,,,,nptel
Mechanical Operations,,Prof. Shabina Khanam,,,,,,,nptel
Heat Treatment and Surface Hardening - I,,Prof. Kallol Mondal,,,,,,,nptel
Manufacturing Process Technology I & II,,Dr.Shantanu Bhattacharya,,,,,,,nptel
Synthesis of Digital Systems,,Prof. Preeti Ranjan Panda,,,,,,,nptel
Fundamentals of manufacturing processes,,Prof. D K Dwivedi,,,,,,,nptel
Fluid Dynamics for Astrophysics,,Prof. Prasad Subramanian,,,,,,,nptel
Advanced Machining Processes,,Prof. Manas Das,,,,,,,nptel
Multiphase Flows,,Prof. Rajesh Kumar Upadhyay,,,,,,,nptel
Computer Methods Of Structural Analysis Of Offshore Structures,,Prof. Srinivas Chandarsekaran,,,,,,,nptel
Basic Linear Algebra,,Prof. Inder K Rana,,,,,,,nptel
Introduction to Abstract and Linear Algebra,,SouravMUkhopadhyay,,,,,,,nptel
Multiphase Flows,,Prof. Rajesh Kumar_x000D_Upadhyay,,,,,,,nptel
Mass Transfer Operations - I,,Prof. Â Bishnupada Mandal,,,,,,,nptel
History of Economic Theory,,Prof. S.S.SivaKumar,,,,,,,nptel
Sustainable Materials and Green Buildings,,Prof. B Bhattacharjee,,,,,,,nptel
Digital Circuits,,Santanu Chattopadhyay,,,,,,,nptel
Introduction to Psychology,,Prof. Braj Bhushan,,,,,,,nptel
Educational leadership,,Prof. Atasi Mohanty,,,,,,,nptel
Management of Commercial Banking,,Prof. Jitendra Mahakud,,,,,,,nptel
Tools in Scientific Computing,,Prof. Aditya Bandopadhyay,,,,,,,nptel
"Hydration, Porosity and Strength of Cementitious Materials",,Prof. Sudhir Misra,,,,,,,nptel
Pericyclic Reactions and Organic Photochemistry,,Prof. S. Sankararaman,,,,,,,nptel
Talent Acquisition and Management,,Prof. S. Rangnekar,,,,,,,nptel
Signal Processing Techniques And Its Applications,,Prof. Dr. Shyamal Kumar Das Mandal,,,,,,,nptel
Business Analytics For Management Decision,,Prof. Rudra P Pradhan,,,,,,,nptel
Engineering Thermodynamics,,Prof. D. P. Mishra,,,,,,,nptel
Cloud Computing,,Prof. Soumya Kanti Ghosh,,,,,,,nptel
German - II,,Prof. Milind Brahme,,,,,,,nptel
Optimization Techniques for Digital VLSI Design,,Prof. Chandan Karfa_x000D_,,,,,,,nptel
Engineering Thermodynamics,,Prof. D. P. Mishra,,,,,,,nptel
Organic Chemistry in Biology and Drug Development,,Prof. Amit Basak,,,,,,,nptel
Solid Mechanics,,Dr. Ajeet Kumar,,,,,,,nptel
Selected Topics in Decision Modeling,,BiswajitMahanty,,,,,,,nptel
First Course on Partial Differential Equations - I,,Prof. A. K. Nandakumaran,,,,,,,nptel
Issues in Bioethics,,Prof. Sreekumar Nellickappilly,,,,,,,nptel
Project Planning & Control,,Prof. Koshy Varghese,,,,,,,nptel
Environmental Remediation of Contaminated Sites,,Prof. Bhanu Prakash Vellanki,,,,,,,nptel
Discrete Mathematics,,Prof. Sudarshan Iyengar,,,,,,,nptel
Introduction to Parallel Programming in OpenMP,,Prof. Yogish Sabharwal,,,,,,,nptel
Physics of Biological Systems,,Prof. Mithun Mitra,,,,,,,nptel
Decision-Making Under Uncertainty,,Prof.N. Gautam,,,,,,,nptel
Business Analytics and Data Mining Modeling using R,,Prof. Gaurav Dixit,,,,,,,nptel
Introductory Mathematical Methods for Biologists,,Prof. Ranjith Padinhateeri,,,,,,,nptel
Mining Machinery,,Prof. Khanindra Pathak,,,,,,,nptel
Neural Science for Engineers,,Prof. Vikas V,,,,,,,nptel
Irrigation and Drainage,,Prof. Damodhra Rao Mailapalli,,,,,,,nptel
Convective Heat Transfer,,Prof. Arup Kumar Das,,,,,,,nptel
Accreditation and Outcome Based Learning,,Prof. AK Ray (Retd.),,,,,,,nptel
Randomized Algorithms,,Prof.  Benny George K,,,,,,,nptel
Electrochemical Technology in Pollution Control,,Prof. J. R. Mudakavi,,,,,,,nptel
Soft Nano Technology,,Prof. Rabibrata Mukherjee,,,,,,,nptel
Medicinal Chemistry,,Prof. Harinath Chakrapani,,,,,,,nptel
Statistical Inference,,Prof. Somesh Kumar,,,,,,,nptel
Fundamental of Welding Science and Technology,,Prof. Pankaj Biswas,,,,,,,nptel
Digital Land Surveying And Mapping (DLS&M),,Prof. Jayanta Kumar Ghosh,,,,,,,nptel
Finite Element Method: Variational Methods to Computer Programming,,Prof. Atanu Banerjee,,,,,,,nptel
Urban governance and Development Management (UGDM),,Prof.Uttam Kumar Roy,,,,,,,nptel
Introduction to Database Systems,,Prof. Sreenivasa Kumar,,,,,,,nptel
Emotional Intelligence,,Prof. Rabindra Kumar Pradhan,,,,,,,nptel
Introduction to Quantum Field Theory(Theory of Scalar Fields),,Prof. Anurag Tripathi,,,,,,,nptel
Introduction to Mechanical Vibration,,Prof. Anil Kumar,,,,,,,nptel
Powder Metallurgy,,Prof. Ranjit Bauri,,,,,,,nptel
Principles of Digital Communication,,Prof.Abhishek Dixit,,,,,,,nptel
Basic Statistical Mechanics,,Prof. Biman Bagchi,,,,,,,nptel
Dynamic Behaviour Of Materials,,Prof. Prasenjit Khanikar,,,,,,,nptel
Multiphase Flows,,Prof. Rajesh Kumar Upadhyay,,,,,,,nptel
Developing Soft Skills and Personality,,Prof. T. Ravichandran,,,,,,,nptel
Advances in UHV Transmission and Distribution,,Prof. Subba Reddy B,,,,,,,nptel
Stochastic Processes,,Prof. S Dharmaraja,,,,,,,nptel
"Services Marketing : Integrating People, Technology, Strategy",,Prof. Zillur Rahman,,,,,,,nptel
Introduction to Classical Mechanics,,Prof. Anurag Tripathi,,,,,,,nptel
Population Studies,,Prof. A. K. Sharma,,,,,,,nptel
First Course on Partial Differential Equations - II,,Prof. A. K. Nandakumaran,,,,,,,nptel
Groundwater hydrology and management,,Prof. Pennan Chinnasamy,,,,,,,nptel
Design and Analysis of Algorithms,,Prof. Madhavan Mukund,,,,,,,nptel
Chemical Engineering Thermodynamics,,Prof. Sasidhar Gumma,,,,,,,nptel
Problem Solving through Programming in C,,Prof. Anupam Basu,,,,,,,nptel
Basic Principles and Calculations in Chemical Engineering,,Prof. Subrata Kumar Majumdar,,,,,,,nptel
Control systems,,Prof. C.S.Shankar Ram,,,,,,,nptel
Rheology of Complex Materials,,Prof. Abhijit Deshpande,,,,,,,nptel
Introduction to Indian Art - An Appreciation,,Dr. Soumik Nandi Majumdar,,,,,,,nptel
History of English Language and Literature,,Prof. Merin Simi Raj,,,,,,,nptel
Introduction to World Literature,,Prof. Merin Simi Raj,,,,,,,nptel
Cloud computing,,Prof. Soumya Kanti Ghosh,,,,,,,nptel
Advanced Concrete Technology,,Manu Santhanam,,,,,,,nptel
Soil Science and Technology,,Prof. Somsubhra Chakraborty,,,,,,,nptel
Advances in Welding and Joining Technologies,,Dr. Swarup Bag,,,,,,,nptel
Organic Farming for Sustainable Agricultural Production,,Dillip Kumar Swain,,,,,,,nptel
Introduction to Abrasive Machining and Finishing Processes,,prof.Mamilla Ravi Sankar,,,,,,,nptel
Satellite Communication Systems,,Prof. Kalyankumar Bandyopadhyay,,,,,,,nptel
Engineering Thermodynamics,,Prof. D.P.Mishra,,,,,,,nptel
Modeling of Tundish Steelmaking Process in Continuous Casting,,Prof. Pradeep Kumar Jha,,,,,,,nptel
Selection of Nanomaterials for Energy Harvesting and Storage Application,,Prof.Kaushik Pal,,,,,,,nptel
Urban Transportation Systems Planning,,Prof. Bhargab Maitra,,,,,,,nptel
Digital speech processing,,Prof. Shyamal Kumar Das Mandal,,,,,,,nptel
Computational Fluid Dynamics for Incompressible Flows,,Prof. Amaresh Dalal,,,,,,,nptel
Laplace Transform,,Prof. Indrava Roy,,,,,,,nptel
Chemical Process Safety,,Prof. Shishir Sinha,,,,,,,nptel
Introduction to Robotics,,Prof. Ashish Dutta,,,,,,,nptel
Managing Intellectual Property in Universities,,Prof. Feroz Ali,,,,,,,nptel
Understanding Ethnography,,Prof. Nina Sabnani,,,,,,,nptel
Fluid Machines,,Prof. Sankar Kumar Som,,,,,,,nptel
Advance Aircraft Maintenance,,Prof. A.K Ghosh,,,,,,,nptel
Electronic Waste Management - Issues And Challenges,,Prof. Brajesh Kumar Dubey,,,,,,,nptel
Discrete Mathematics - IIT Ropar,,Prof. Sudarshan Iyengar,,,,,,,nptel
Fundamentals of Electric Drives,,Prof. Shyama Prasad Das,,,,,,,nptel
Global Navigation Satellite Systems and Applications,,Prof. Arun K. Saraf,,,,,,,nptel
Training and Development,,Prof. Dr. Susmita Mukhopadyay,,,,,,,nptel
Architectural Conservation and Historic Preservation,,Prof. Sanghamitra Basu,,,,,,,nptel
Introduction to Econometrics,,Prof. Sabuj Kumar Mandal,,,,,,,nptel
Engineering Mathematics - I,,Prof. Jitendra Kumar,,,,,,,nptel
Probability and Statistics,,Prof. Somesh Kumar,,,,,,,nptel
Introduction to learning analytics,,Prof. Ramkumar Rajendran,,,,,,,nptel
Thermodynamics of Fluid Phase Equilibria,,Dr.Jayant Singh,,,,,,,nptel
"Integrated Circuits, Mosfets, OP-Amps and their Applications",,Prof. Hardik Jeetendra Pandya,,,,,,,nptel
Graph Theory,,Prof. Soumen Maity,,,,,,,nptel
Advanced Microwave Guided-Structures and Analysis,,Prof. Bratin Ghosh,,,,,,,nptel
Concrete Technology,,Prof. B. Bhattacharjee,,,,,,,nptel
WildLife Conservation,,Prof.  Ankur Awadhiya,,,,,,,nptel
Electronics Equipment Integration and Prototype Building,,Prof. N.V.Chalapathi Rao,,,,,,,nptel
Manufacturing Guidelines for Product Design,,Prof.Inderdeep Singh,,,,,,,nptel
Basics of Noise and its Measurements,,Prof. Nachiketa Tiwari,,,,,,,nptel
Hydraulic Engineering,,Prof. Mohammad Saud Afzal,,,,,,,nptel
Geomorphic Processes: Landforms And Landscapes,,Prof. Javed N. Malik,,,,,,,nptel
Introduction to Rocket Propulsion,,Prof.D.P. Mishra,,,,,,,nptel
Material Characterization,,Prof. Sankaran.S,,,,,,,nptel
Diffusion in Multicomponent Solids,,Prof. Kaustubh Kulkarni,,,,,,,nptel
Intellectual Property Rights and Competition Law,,Prof (Dr.) K.D. Raju,,,,,,,nptel
Infrastructure Economics,,Prof. Nalin Bharti,,,,,,,nptel
Language and Mind,,Prof. Rajesh Kumar,,,,,,,nptel
Thermal Processing of Foods,,Prof. R. Anandalakshmi,,,,,,,nptel
Introduction to Machine Learning,,Prof. Balaraman Ravindran,,,,,,,nptel
Introduction to History of Architecture in India,,Prof. Pushkar Sohoni,,,,,,,nptel
Electrical Distribution System Analysis,,Prof. G. B. Kumbhar,,,,,,,nptel
Business Ethics,,Prof. Susmita Mukhopadhyay,,,,,,,nptel
Metal Cutting and Machine Tools,,Prof. Asimava Roy Choudhury,,,,,,,nptel
Information Security - 5 - Secure Systems Engineering,,Prof. Chester Rebeiro,,,,,,,nptel
Understanding Design,,Prof. Nina Sabnani,,,,,,,nptel
Ecology and Environment,,Prof. Abhijit Deshpande,,,,,,,nptel
Introduction to Wireless and Cellular Communications,,Prof. David Koilpillai,,,,,,,nptel
Analog Ic Design,,Prof. Aniruddhan S,,,,,,,nptel
Fundamental of Fluid Mechanics for Chemical and Biomedical Engineers,,Prof. Raghvendra Gupta,,,,,,,nptel
Manufacturing Systems Technology,,Prof.Shantanu Bhattacharya,,,,,,,nptel
Philosophical Foundations of Social Research,,Prof. Sambit Mallick,,,,,,,nptel
Aircraft Design,,Prof. A.K.Ghosh,,,,,,,nptel
Financial Management For Managers,,Prof. Anil K. Sharma,,,,,,,nptel
Qualitative Research Methods and Research Writing,,Prof. Aradhna Malik,,,,,,,nptel
Theory of Yarn Structure,,Prof. Dipayan Das,,,,,,,nptel
Earthquake Geology:A Tool for Seismic Hazard Assessment,,Prof. Javed N. Malik,,,,,,,nptel
Wheeled Mobile Robots,,Prof. Asokan Thondiyath,,,,,,,nptel
Welding Metallurgy,,Prof. Pradeep K. Jha,,,,,,,nptel
Fundamentals of manufacturing processes,,Prof. D. K Dwivedi,,,,,,,nptel
Trace and ultra-trace analysis of metals using atomic absorption spectrometry,,Prof. J. R. Mudakavi,,,,,,,nptel
Blockchain Architecture Design and Use Cases,,SANDIP CHAKRABORTY,,,,,,,nptel
Introduction to Atmospheric and Space Sciences,,Prof. M V Sunil Krishna,,,,,,,nptel
Dairy and Food process and products technology,,Prof. Tridib Kumar Goswami,,,,,,,nptel
Introduction to Uncertainty Analysis and Experimentation,,Prof. S. R. Kale,,,,,,,nptel
Elements of Visual Representation,,Prof. Shatarupa Thakurta Roy,,,,,,,nptel
"Essentials of Oxidation, Reduction and C-C Bond Formation. Application in Organic Synthesis",,Prof. Yashwant D Vankar,,,,,,,nptel
Failure Analysis and Prevention,,Prof. D. K. Dwivedi,,,,,,,nptel
Project Management,,Prof. Raghu Nandan Sengupta,,,,,,,nptel
Heat Exchangers: Fundamentals and Design Analysis,,Prof. Prasanta Kr Das,,,,,,,nptel
Technical English for Engineers,,Prof. Aysha Iqbal,,,,,,,nptel
Principles of Casting Technology,,Prof. Pradeep Kumar Jha,,,,,,,nptel
